,Sport,Medal,Number
0,Atletismo,Gold,6.0
1,Bowling,Gold,0.0
2,Boxeo,Gold,0.0
3,Bádminton,Gold,2.0
4,Béisbol,Gold,0.0
5,Ciclismo,Gold,0.0
6,Clavados,Gold,0.0
7,Fisicoculturismo,Gold,2.0
8,Fútbol,Gold,0.0
9,Gimnasia,Gold,2.0
10,Golf,Gold,0.0
11,Halterofilia,Gold,0.0
12,Judo,Gold,0.0
13,Karate,Gold,2.0
14,Lucha,Gold,0.0
15,Natación,Gold,4.0
16,Patinaje,Gold,0.0
17,Pentatlón moderno,Gold,2.0
18,Raquetbol,Gold,0.0
19,Remo,Gold,0.0
20,Surf,Gold,0.0
21,Taekwondo,Gold,1.0
22,Tenis,Gold,0.0
23,Tiro,Gold,6.0
24,Tiro con arco,Gold,1.0
25,Vela,Gold,4.0
26,Atletismo,Silver,6.0
27,Bowling,Silver,1.0
28,Boxeo,Silver,0.0
29,Bádminton,Silver,2.0
30,Béisbol,Silver,2.0
31,Ciclismo,Silver,3.0
32,Clavados,Silver,0.0
33,Fisicoculturismo,Silver,0.0
34,Fútbol,Silver,3.0
35,Gimnasia,Silver,2.0
36,Golf,Silver,1.0
37,Halterofilia,Silver,6.0
38,Judo,Silver,0.0
39,Karate,Silver,1.0
40,Lucha,Silver,3.0
41,Natación,Silver,4.0
42,Patinaje,Silver,1.0
43,Pentatlón moderno,Silver,1.0
44,Raquetbol,Silver,1.0
45,Remo,Silver,1.0
46,Surf,Silver,0.0
47,Taekwondo,Silver,2.0
48,Tenis,Silver,0.0
49,Tiro,Silver,3.0
50,Tiro con arco,Silver,2.0
51,Vela,Silver,0.0
52,Atletismo,Bronze,8.0
53,Bowling,Bronze,0.0
54,Boxeo,Bronze,10.0
55,Bádminton,Bronze,5.0
56,Béisbol,Bronze,2.0
57,Ciclismo,Bronze,3.0
58,Clavados,Bronze,1.0
59,Fisicoculturismo,Bronze,1.0
60,Fútbol,Bronze,3.0
61,Gimnasia,Bronze,2.0
62,Golf,Bronze,0.0
63,Halterofilia,Bronze,10.0
64,Judo,Bronze,3.0
65,Karate,Bronze,6.0
66,Lucha,Bronze,3.0
67,Natación,Bronze,4.0
68,Patinaje,Bronze,3.0
69,Pentatlón moderno,Bronze,1.0
70,Raquetbol,Bronze,1.0
71,Remo,Bronze,5.0
72,Surf,Bronze,1.0
73,Taekwondo,Bronze,6.0
74,Tenis,Bronze,2.0
75,Tiro,Bronze,7.0
76,Tiro con arco,Bronze,2.0
77,Vela,Bronze,3.0
