,Deporte,Medallas Ganadas por CA,Medallas Totales,Proporcion
0,Atletismo,20,2180,0.009174311926605505
1,Bádminton,9,140,0.06428571428571428
2,Baloncesto,0,54,0.0
3,Balonmano,0,27,0.0
4,Béisbol,4,58,0.06896551724137931
5,Bowling,1,114,0.008771929824561403
6,Boxeo,10,773,0.0129366106080207
7,Canotaje ,0,367,0.0
8,Ciclismo,6,606,0.009900990099009901
9,Clavados,1,294,0.003401360544217687
10,Ecuestre,0,273,0.0
11,Esgrima,0,540,0.0
12,Esquí Acuatico,0,162,0.0
13,Fisicoculturimo,3,6,0.5
14,Fútbol,6,72,0.08333333333333333
15,Gimnasia artística,6,1016,0.005905511811023622
16,Golf,1,18,0.05555555555555555
17,Hockey,0,69,0.0
18,Judo,3,691,0.004341534008683068
19,Karate,9,293,0.030716723549488054
20,Levantamiento de pesas,16,1003,0.015952143569292122
21,Lucha,6,899,0.006674082313681869
22,Natación,12,1522,0.00788436268068331
23,Patinaje,4,384,0.010416666666666666
24,Pelota Vasca,0,114,0.0
25,Pentatlón moderno,4,72,0.05555555555555555
26,Waterpolo,0,72,0.0
27,Raquetbol,2,118,0.01694915254237288
28,Remo,6,612,0.00980392156862745
29,Rugby,0,9,0.0
30,Softbol,0,60,0.0
31,Squash,0,143,0.0
32,Surf,1,24,0.041666666666666664
33,Taekwondo,9,334,0.02694610778443114
34,Tenis,2,285,0.007017543859649123
35,Tenis de mesa,0,212,0.0
36,Tiro,16,1036,0.015444015444015444
37,Tiro con arco,5,216,0.023148148148148147
38,Triatlón,0,51,0.0
39,Vela,7,361,0.019390581717451522
40,Voleibol,0,102,0.0
